name,tags,x,y,z,bas_demand
Junction-26258,,"354509.430107512045652","397296.696279517549556","21.494287000000000","0.017566"
Junction-626,,"354966.759107208636124","396578.846280705765821","30.568335000000001","0.000000"
Junction-15248,,"355689.961106591334101","398415.003277587238699","40.083331999999999","0.031428"
Junction-44152,,"353439.434858309221454","397168.267342281236779","12.986190000000001","0.000000"
Junction-51697,,"356735.418105816585012","398300.326277734362520","56.789999999999999","0.140936"
Junction-475031,,"356649.277812503278255","398370.589875001518521","58.672325000000001","0.000000"
Junction-516106,,"355478.343999996781349","397046.519000001309905","29.183333999999999","0.000000"
Junction-591521,,"356435.957271248102188","397017.599552295811009","71.459999999999994","0.000000"
Junction-475946,,"356640.809000000357628","397315.559000000357628","94.100005999999993","0.000000"
Junction-44166,,"353672.396108119108249","397557.703279117529746","12.710820999999999","0.057286"
Junction-44303,,"354676.372107392933685","397226.720279627363198","23.334285999999999","0.036619"
Junction-519268,,"354869.804999999701977","396665.899124998599291","27.654999000000000","0.000000"
Junction-14373,,"354315.530107606668025","398430.509027622174472","38.204999999999998","0.000000"
Junction-56188,,"356497.086106009548530","398049.652278168243356","92.665000000000006","0.000000"
Junction-15393,,"355838.235106477397494","398427.933277566917241","42.250000000000000","0.000000"
Junction-26467,,"354953.861107140372042","398292.624277829250786","39.914999999999999","0.000000"
Junction-14391,,"354443.010107559442986","397298.402279516682029","20.585999999999999","0.000000"
Junction-28122,,"356760.167105815140530","398039.980278168921359","75.510000000000005","0.000000"
Junction-44368,,"354990.496107132756151","397797.446278652991168","22.699998999999998","0.278991"
Junction-36313,,"355037.518107070063706","398435.473277583369054","33.463332999999999","0.037315"
Junction-972,,"355395.410106878262013","396705.750280473846942","23.504999999999999","0.000000"
Junction-58975,,"353891.891107986215502","396982.077280073019210","16.832977000000000","0.961134"
Junction-565,,"354594.199107467546128","396904.830280172987841","23.369999000000000","0.026807"
Junction-51001,,"355799.377106511499733","398240.161277880542912","55.500000000000000","0.000000"
